FOODID;FOODNAME;LANG
1;SOKERI;FI
2;FRUKTOOSI, HEDELMÄSOKERI;FI
3;SIIRAPPI;FI
4;HUNAJA;FI
5;MAKEINEN, KARAMELLI;FI
6;SUKLAA, KESKIARVO, MAITO-, TUMMA-, VALKO-;FI
7;SUKLAAKONVEHTI, MARMELADITÄYTE;FI
8;LAKRITSI;FI
9;MAKEINEN, MARMELADIMAKEINEN;FI
10;MARSIPAANI, MANTELIMASSA;FI
11;MAKEINEN, TOFFEE;FI
12;MAKEINEN, SALMIAKKIPASTILLI;FI
14;SUKLAAPATUKKA SUKLAINEN, KESKIARVO;FI
20;KAAKAOJAUHE, EI LISÄTTYÄ SOKERIA;FI
21;KAAKAOJAUHE, SOKEROITU;FI
24;SORBITOLI;FI
25;LIIVATE;FI
26;HIIVA, TUORE;FI
27;JAUHO, MAISSITÄRKKELYS;FI
28;SINAPPI;FI
29;LIHALIEMI, LAIMENNETTU;FI
30;RUOKASUOLA, JODIOITU;FI
31;MAUSTEKASTIKE, SOIJAKASTIKE;FI
32;SUKLAA, TUMMA;FI
33;SUKLAA, MAITOSUKLAA;FI
34;HALVA SEESAMSIEMENVALMISTE;FI
35;MAKEINEN, SOKERITON;FI
36;MINERAALISUOLA, KESKIARVO;FI
37;SUKLAA, SOKERITON, KEINOTEKOISESTI MAKEUTETTU;FI
38;LIHALIEMIJAUHE/TIIVISTE;FI
39;MAKEUTUSAINE, ASPARTAAMI, JAUHE;FI
40;VÄLIPALAPATUKKA, KUITUINEN;FI
43;RUISMALLAS;FI
44;SUKLAAPATUKKA TÄYTESUKLAA, KESKIARVO;FI
62;KSYLITOLIPASTILLI;FI
63;SUKLAAPATUKKA VÄHÄRASVAINEN;FI
65;KSYLITOLIPURUKUMI;FI
66;PURUKUMI;FI
68;OHRATÄRKKELYS;FI
69;HEDELMÄPASTILLI, ARABIKUMIPASTILLI;FI
70;MAKEUTUSAINE, HERMESETAS, SAKARIINI;FI
73;JOGURTTIRUSINA/JOGURTTIHEDELMÄ, KUORRUTETTU KUIVATTU HEDELMÄ;FI
74;LEIVINJAUHE;FI
75;KALALIEMI, LAIMENNETTU;FI
79;RUOKASUOLA, JODIOIMATON, VUORISUOLA;FI
100;JAUHO, RUISJAUHO, TÄYSJYVÄJAUHO;FI
103;RUISHIUTALE;FI
110;JAUHO, VEHNÄJAUHO, PUOLIKARKEA;FI
111;JAUHO, GRAHAMJAUHO;FI
112;MANNASUURIMO;FI
113;MANNASUURIMO, TUMMA;FI
114;VEHNÄHIUTALE;FI
115;VEHNÄNALKIO;FI
116;LESE, VEHNÄLESE;FI
117;MAKARONI, PASTA;FI
119;MAKARONI, TUMMA;FI
120;NUUDELI, VEHNÄNUUDELI;FI
121;PASTA, SPAGETTI, MAKARONI;FI
123;MAKARONI, TUMMA, KEITETTY, SUOLATON;FI
124;JAUHO, HIIVALEIPÄVEHNÄJAUHO;FI
125;JAUHO, JAUHOSEOS, SÄMPYLÄJAUHO, VEHNÄJAUHO, RUISJAUHO, VEHNÄROUHE;FI
126;JAUHO, KORPPUJAUHO;FI
133;VOHVELIKUORI, JÄÄTELÖVOHVELI;FI
142;JAUHO, VEHNÄJAUHO, LEIPOMOTEOLLISUUS, VASTAJAUHETTU;FI
150;JAUHO, OHRAJAUHO;FI
151;OHRASUURIMO;FI
152;OHRAHIUTALE;FI
153;KAURAHIUTALE;FI
154;JAUHO, JAUHOSEOS, TALKKUNAJAUHO, SISÄLTÄÄ OHRAA;FI
156;RIISI PUUROUTUVA;FI
158;TÄYSJYVÄRIISI;FI
160;JAUHO, HIRSSISUURIMO TAI -JAUHO;FI
161;JAUHO, TATTARISUURIMO TAI -JAUHO;FI
162;JAUHO, PERUNAJAUHO TAI -SUURIMO, PERUNATÄRKKELYS;FI
163;MURO, MAISSIHIUTALE, CORN FLAKES;FI
167;MAISSI, JYVÄ, KUIVATTU;FI
168;KALJA- / MÄMMIMALLAS;FI
170;LESE, KAURALESE;FI
172;PASTA, PINAATTISPAGETTI, SISÄLTÄÄ KANANMUNAA;FI
173;KAURAMAKARONI, SISÄLTÄÄ VEHNÄÄ JA KAURAA;FI
175;ROUHE, VEHNÄROUHE KOKOJYVÄSTÄ;FI
176;ROUHE, RUISROUHE;FI
177;RIISI, LUONNONRIISI RIISI-VILLIRIISISEOS, KEITETTY, SUOLATON;FI
182;JAUHO, RIISIJAUHO, RIISIHIUTALE;FI
183;JAUHO, TÄYSJYVÄRIISIJAUHO;FI
184;MAISSILASTU, TACOKUORI;FI
185;JAUHO, JAUHOSEOS, GLUTEENITON, VEHNÄTÄRKKELYSTÄ;FI
186;PASTA, SPAGETTI, PINAATTISPAGETTI, KEITETTY, SUOLATON;FI
187;MAKARONI, KEITETTY, ÖLJYÄ, SUOLATON;FI
188;PASTA, SPAGETTI, KEITETTY, ÖLJYÄ, SUOLATON;FI
189;JAUHO, JAUHOSEOS, RUIS-VEHNÄ;FI
190;KAURAMAKARONI, KEITETTY, SUOLATON;FI
191;KAURAMAKARONI, KEITETTY, ÖLJYÄ, SUOLATON;FI
202;PERUNA, KUIVATTU;FI
203;PERUNALASTU;FI
204;PERUNA, UUSI;FI
205;PERUNA, VANHA, KUORITTU;FI
206;PERUNASOSEJAUHE, VALMISTAMATON;FI
207;RANSKANPERUNAVALMISTE, PAKASTE;FI
209;PERUNAHIUTALE;FI
300;PORKKANA;FI
302;PORKKANA, KUIVATTU;FI
303;LANTTU;FI
304;NAURIS;FI
305;PUNAJUURI;FI
307;ETIKKAPUNAJUURI;FI
308;RETIISI;FI
309;PALSTERNAKKA;FI
310;MAA-ARTISOKKA;FI
311;JUURISELLERI, MUKULASELLERI;FI
312;MUSTAJUURI;FI
313;PAKASTEKASVISSEKOITUS, KEITTOJUURES, PORKKANA, LANTTU, JUURISELLERI, PURJO;FI
320;VALKOKAALI, KERÄKAALI;FI
321;PUNAKAALI;FI
322;KUKKAKAALI;FI
324;PARSAKAALI, BROKKOLI;FI
326;LEHTIKAALI;FI
327;RUUSUKAALI;FI
329;KYSSÄKAALI, KAALIRAPI;FI
330;LEHTISALAATTI, RUUKKUSALAATTI, LOLLO ROSSO;FI
331;JÄÄVUORISALAATTI, RAPEA KERÄSALAATTI, AMERIKANSALAATTI;FI
333;PERSILJA;FI
334;NOKKONEN;FI
335;SIPULI, KELTASIPULI;FI
336;SIPULI, KUIVATTU SIPULILASTU;FI
337;PURJOSIPULI;FI
338;RAPARPERI;FI
339;LEHTISELLERI, VARSISELLERI;FI
340;PARSA, SÄILÖTTY;FI
342;SIENI, TATTI, HAPERO;FI
343;SIENI ROUSKUT, SUOLATTU, KÄYTTÖVALMIS;FI
344;ETIKKASIENISÄILYKE;FI
345;HERKKUSIENI;FI
346;KURKKU;FI
347;ETIKKAKURKKU, EI LISÄTTYÄ SOKERIA;FI
348;MAUSTEKURKKU, HERKKUKURKKU, SOKERISUOLATTU;FI
350;KURPITSA;FI
351;SALAATTI, KURPITSASALAATTI, PIKKELSSI;FI
352;TOMAATTI;FI
353;KETSUPPI;FI
354;TOMAATTISOSE, TOMAATTIPYREE;FI
355;PAPRIKA, KESKIARVO;FI
356;SEKAVIHANNES, PORKKANA, KUKKAKAALI, HERNE, PAPU;FI
358;TÄYSMEHU, KASVISTUOREMEHU;FI
359;KIINANKAALI;FI
360;MANGOLDI;FI
362;MUNAKOISO;FI
363;MAISSI, JYVÄT;FI
364;VIHANNESKRASSI;FI
367;KANTARELLI;FI
368;KORVASIENI;FI
369;TILLI, TUORE;FI
370;HERNE, VIHREÄ, TUORE;FI
371;HERNE, VIHREÄ, KUIVATTU;FI
372;PAPU, VIHREÄ TAITEPAPU, TUORE;FI
373;PAPU, RUSKEA TAI VALKOINEN, KUIVATTU, KESKIARVO;FI
375;PÄHKINÄ, HASSELPÄHKINÄ;FI
376;PÄHKINÄ, SAKSANPÄHKINÄ;FI
377;KASTANJA;FI
378;PÄHKINÄ, MAAPÄHKINÄ;FI
379;MANTELI;FI
380;JAUHO, SOIJAJAUHO, RASVAINEN;FI
381;JAUHO, SOIJAJAUHO, VÄHÄRASVAINEN;FI
382;KOOKOSHIUTALE;FI
383;PÄHKINÄ, SUOLAPÄHKINÄ;FI
384;ITU, KESKIARVO, SINIMAILANEN, MUNGOPAPU;FI
385;SEESAMINSIEMEN, KUORINEEN;FI
386;PAPRIKA, PUNAINEN;FI
387;PAPRIKA, VIHREÄ;FI
388;PAPRIKA, KELTAINEN;FI
389;KESÄKURPITSA, ZUCCHINI;FI
390;TÄYSMEHU, TOMAATTIMEHU;FI
391;SOIJAPAPU, KUIVATTU;FI
392;RUOHOSIPULI;FI
393;VALKOSIPULI;FI
394;SALAATTI, KURKKUSALAATTI, KURKKUPIKKELSSI, KURKKURELISSI;FI
395;PAPU, VALKOINEN, KEITETTY;FI
396;PAKASTEKASVISSEKOITUS, HERNE-MAISSI-PAPRIKA;FI
398;TOMAATTIMURSKA;FI
399;LINSSI, VIHREÄ/RUSKEA, KUIVATTU;FI
401;OMENA, KUIVATTU;FI
408;APRIKOOSI, SOKERILIEMESSÄ;FI
409;APRIKOOSI, KUIVATTU;FI
411;PERSIKKA, SOKERILIEMESSÄ;FI
412;PERSIKKA, KUIVATTU;FI
417;ANANAS, SOKERILIEMESSÄ;FI
423;VIINIRYPÄLE, KESKIARVO, KIVETÖN, VIHREÄ/TUMMA;FI
427;SEKAHEDELMÄ, KUIVATTU;FI
428;RUSINA;FI
431;OLIIVI, KESKIARVO, PUNNITTU KIVINEEN, ÖLJYSSÄ, VIHREÄ/MUSTA;FI
432;HEDELMÄSALAATTISÄILYKE, SOKERILIEMESSÄ;FI
433;TÄYSMEHU, OMENATÄYSMEHU, C-VITAMIINIA;FI
434;TÄYSMEHU, APPELSIINITÄYSMEHU, C-VITAMIINIA;FI
435;TÄYSMEHU, GREIPPITÄYSMEHU, C-VITAMIINIA;FI
436;TÄYSMEHU, C-VITAMIINIA, KESKIARVO;FI
437;TÄYSMEHU, SITRUUNATÄYSMEHU, LAIMENNETTU;FI
