THSCODE;DESCRIPT;LANG
FRUDITOT;Hedelm‰- ja marjaruoat;FI
FRUFRESH;Hedelm‰t, tuoreet;FI
FRUBSAL;Hedelm‰- ja marjasalaatit;FI
BERFRESH;Marjat;FI
FRUBSOUP;Marjakiisselit, -keitot;FI
FRUBDISH;Marja- tai hedelm‰ruoka ilman piirakoita;FI
FRUBJUIC;T‰ysmehut;FI
FRUBPAST;POISTETTU_Marjapaistokset;FI
LEGUTOT;Palkokasvit, palkokasviruoat;FI
LEGUMES;Palkokasvit;FI
LEGUPROD;Palkokasvivalmiste;FI
LEGUDISH;Palkokasviruoat;FI
LEGUSOUP;Palkokasvikeitot;FI
LEGUSAUC;Palkokasvikastikkeet;FI
VEGDITOT;Kasvikset, kasvisruoat;FI
VEGFRESH;Kasvikset, tuoreet;FI
VEGPOT;Kypsennetyt kasvikset;FI
VEGDISH;Kasvisp‰‰ruoat;FI
VEGSOUP;Kasviskeitot;FI
VEGSAUC;Kasviskastikkeet;FI
MUSHRDI;Sieniruoat;FI
VEGCANN;Kasviss‰ilykkeet;FI
VEGJUICE;Kasvismehut;FI
VEGCASS;POISTETTU_Kasvislaatikot;FI
SALADTOT;Salaatit;FI
SALADVEG;Kasvissalaatit;FI
SALADMIX;Yhdistelm‰salaatit;FI
SALADMAY;Majoneesisalaatit;FI
POTATOT;Perunat;FI
POTACOOK;Perunat, keitetyt;FI
POTADISH;Perunaruoat;FI
POTAFRIE;Paistetut perunat, ranskanperunat;FI
POTAFAT;POISTETTU_Paistetut perunat, kermaperunat;FI
CEBAKTOT;Vilja ja leivontatuotteet;FI
BRMIX;Leip‰, seka- tai jyv‰leip‰;FI
BRWHITE;Leip‰, vehn‰-;FI
BRRYE;Leip‰, ruis-;FI
BUN;Kahvileip‰;FI
BAKSWEET;Leivonnainen makea;FI
BAKSALT;Leivonnainen suolainen;FI
PANCAKE;Ohukaiset ;FI
SANDWICH;Voileiv‰t ja hampurilaiset;FI
BISCUSWE;Makeat keksit ja pikkuleiv‰t;FI
BISCUSAV;Voileip‰keksit;FI
RICEADD;Riisilis‰ke;FI
PASTAADD;Pastalis‰ke;FI
PORR;Puuro;FI
CERBRKF;Aamiaisviljavalmisteet;FI
CERBAR;Viljapatukat;FI
PIZZA;Pizza;FI
FLOUR;Jauhot;FI
BISCUIT;POISTETTU_Keksit, pikkuleiv‰t;FI
CERPR;POISTETTU_Paistokset yms. sekalaiset;FI
MILKDTOT;Maidot ja maitoruoat;FI
MILKFF;Maitojuoma rasvaton;FI
MILKLF;Maitojuomat <2%;FI
MILKHF;Maitojuomat >2%;FI
SMILK;Piim‰;FI
CREAM;Kerma;FI
YOGHURT;Jogurtit;FI
MILKCURL;Viili;FI
CURD;Rahka;FI
SOUCREAM;Hapanmaitotuotteet, muut;FI
CHEESCUR;Juustot, kypsytetyt juustot;FI
CHEESUNC;Juustot, tuorejuustot;FI
CHEESPRO;Juustot, sulatejuustot;FI
ICECREAM;J‰‰telˆ;FI
MILKPUDD;Maitoj‰lkiruoat;FI
MILKSAUC;Maitokastikkeet;FI
CHEESHAR;POISTETTU_Juustot, kovat;FI
CHEESOFT;POISTETTU_Juustot, sulate- ja tuore-;FI
VEGCHEES;POISTETTU_Juusto, kasvirasva-;FI
FATTOT;Rasva ja rasvavalmisteet;FI
BUTTER;Voi, maitorasva;FI
FATANIM;El‰inrasva;FI
BUTTEHIG;Rasvaseokset>= 55 %;FI
BUTTELOW;Rasvaseokset < 55 %;FI
VEGFATLO;Margariini ja  rasvalevite <55%;FI
VEGFATHI;Margariini ja rasvalevitteet >= 55%;FI
FATCOOK;Ruoanvalmistus- ja teollisuusrasva;FI
SALADDRE;Salaatinkastikkeet ja majoneesit;FI
OIL;÷ljy;FI
