THSCODE;DESCRIPT;LANG
FRUITTOT;Fruits;EN
APPLE;Malaceous fruit;EN
CITRUS;Citrus fruit;EN
FRUITOTH;Other fruits;EN
BERRY;Berries;EN
FRUITCAN;Canned fruits;EN
JUICE;Juices;EN
FBDRINK;Juice drink;EN
VEGTOT;Vegetables;EN
VEGLEAF;Leaf vegetables;EN
VEGFRU;Fruit vegetables;EN
CABBAGE;Cabbages;EN
VEGONI;Onion-family vegetables;EN
ROOT;Root vegetables and tubers;EN
MUSHRO;Edible fungi;EN
VEGJUICE;Vegetable juices;EN
VEGCANN;Canned vegetables;EN
LEGUTOT;Pulses and nuts;EN
PEABEAN;Pulses vegetables;EN
NUTSEED;Nuts and seeds;EN
LEGUPROD;Pulse products;EN
SOYAPROD;Soya products;EN
LEGULIQ;Soya, nut or seed drinks;EN
POTATOT;Potatoes;EN
POTATO;Potato;EN
POTAPROD;Potato products;EN
CERTOT;Cereals;EN
WHEAT;Wheat;EN
RYE;Rye;EN
OAT;Oat and oat products ;EN
BARLEY;Barley and barley products;EN
RICE;Rice;EN
CEROTH;Other grains;EN
CERBAR;Cereal bars;EN
OATLIQ;Oat drinks, liquid oat products;EN
CEROTLIQ;Cereal drinks, liquid ceral products;EN
STARCH;Starches;EN
OATBAR;POISTETTU_Oats and barley;EN
PASTA;POISTETTU_Pasta and macaroni;EN
BRHARD;POISTETTU_Crispbreads;EN
BISCUIT;POISTETTU_Biscuits;EN
MILKTOT;Milk;EN
CREAM;Cream;EN
ICECREAM;Ice cream;EN
MILKFF;Milks skimmed;EN
MILKLF;Milks <= 2% fat;EN
MILKHF;Milks >2% fat;EN
MILKINGR;Milk powders;EN
SOURMILK;Soured milks;EN
YOGHURHI;Yoghurt > 1 %;EN
YOGHURLO;Yoghurt  <= 1 %;EN
MILKCURL;Cultured milks;EN
CURD;Quark;EN
SOUCREAM;Fermented milk products, other;EN
CHEECUHI;Cheese, ripened cheese > 17 %;EN
CHEECULO;Cheese, ripened cheese <= 17 %;EN
CHEEUNHI;Cheese, unripened, fresh cheese >15 %;EN
CHEEUNLO;Cheese, unripened, fresh cheese <=15 %;EN
CHEEPRHI;Processed cheese >17%;EN
CHEEPRLO;Processed cheese <= 17%;EN
VEGCHEES;Modified cheeses;EN
