THSCODE;DESCRIPT;LANG
FRUITTOT;Frukt;SV
APPLE;Äppelfrukt;SV
CITRUS;Citrusfrukter;SV
FRUITOTH;Övrig frukt;SV
BERRY;Bär;SV
FRUITCAN;Fruktkonserver;SV
JUICE;Juicer;SV
FBDRINK;Saftdrycker;SV
VEGTOT;Grönsaker;SV
VEGLEAF;Bladgrönsaker;SV
VEGFRU;Grönsaksfrukt;SV
CABBAGE;Kål;SV
VEGONI;Lökgrönsaker;SV
ROOT;Rot- och knölväxter;SV
MUSHRO;Svamp;SV
VEGJUICE;Grönsaksjuice;SV
VEGCANN;Grönsakskonserver;SV
LEGUTOT;Baljväxter och nötter;SV
PEABEAN;Baljväxter;SV
NUTSEED;Nötter, frön;SV
LEGUPROD;Baljväxtprodukter;SV
SOYAPROD;Sojaprodukter;SV
LEGULIQ;Drycker av soja, nötter eller frön;SV
POTATOT;Potatis;SV
POTATO;Potatis;SV
POTAPROD;Potatisprodukter;SV
CERTOT;Spannmål;SV
WHEAT;Vete;SV
RYE;Råg;SV
OAT;Havre och havreprodukter;SV
BARLEY;Korn och kornprodukter;SV
RICE;Ris;SV
CEROTH;Övrigt spannmål;SV
CERBAR;Spannmålsstänger;SV
OATLIQ;Havredrycker, flytande havreprodukter;SV
CEROTLIQ;Spannmålsdrycker, flytande spannmålsprodukter;SV
STARCH;Stärkelse;SV
OATBAR;POISTETTU_Havre, korn;SV
PASTA;POISTETTU_Pasta, makaroner;SV
BRHARD;POISTETTU_Torrt bröd;SV
BISCUIT;POISTETTU_Kex;SV
MILKTOT;Mjölk;SV
CREAM;Grädde/creme;SV
ICECREAM;Glass;SV
MILKFF;Mjölkdrycker fettfria;SV
MILKLF;Mjölkdrycker <= 2%;SV
MILKHF;Mjölkdrycker >2%;SV
MILKINGR;Mjölkpulver;SV
SOURMILK;Surmjölk;SV
YOGHURHI;Yoghurt > 1 %;SV
YOGHURLO;Yoghurt  <= 1 %;SV
MILKCURL;Fil;SV
CURD;Kvarg;SV
SOUCREAM;Syrade mjölkprodukter;SV
CHEECUHI;Ost, mogen > 17 %;SV
CHEECULO;Ost, mogen <=17 %;SV
CHEEUNHI;Färskost >15 %;SV
CHEEUNLO;Färskost <= 15%;SV
CHEEPRHI;Smältost >17 %;SV
CHEEPRLO;Smältost <= 17 %;SV
VEGCHEES;Ost med vegetabiliskt fett;SV
MILK;POISTETTU_Mjölk;SV
