THSCODE;DESCRIPT;LANG
MI0001;Carbohydrate, EC Nutrition Labelling Directive, calculated from available carbohydrate and polyols;EN
MI0002;EuroFIR recipe calculation procedure;EN
MI0003;Recipe level calculation procedure;EN
MI0004;Ingredient level calculation procedure;EN
MI0005;Other recipe calculation procedure;EN
MI0101;Energy calculated according to Southgate (kcal);EN
MI0102;Energy calculated according to Atwater (kcal, general factors);EN
MI0103;Energy calculated according to Codex Alimentarius (kcal);EN
MI0104;Energy calculated according to Codex Alimentarius (kJ);EN
MI0105;Energy calculated according to Southgate (kJ);EN
MI0106;Energy calculated according to Atwater (specific factors);EN
MI0107;Energy calculated according to EC Nutrition Labelling Directive (kJ);EN
MI0108;Energy calculated according to EC Nutrition Labelling Directive (kcal);EN
MI0109;Energy calculated according to EC Nutrition Labelling Directive (kJ, polydextrose exception);EN
MI0110;Energy calculated according to Nordic Nutrition Recommendations (kJ);EN
MI0121;Protein calculated from amino acid nitrogen;EN
MI0122;Protein calculated from protein nitrogen;EN
MI0123;Protein calculated from total nitrogen;EN
MI0124;Protein calculated as the sum of individual amino acids;EN
MI0131;Carbohydrate, total, calculated by difference;EN
MI0141;Water by difference, generic;EN
MI0142;Water by difference;EN
MI0143;Dry matter calculated from water content;EN
MI0151;Sugar calculated as the sum of  individual mono-, di-, and tri-saccharides;EN
MI0153;Sugar calculated as the sum of total mono- and di-saccharides;EN
MI0161;Starch by difference;EN
MI0171;Dietary fibre calculated from total carbohydrates and available carbohydrate;EN
MI0172;Dietary fibre calculated from individual fibre fractions;EN
MI0181;Carbohydrate, available calculated from sugar and starch;EN
MI0182;Carbohydrate, available calculated from sugar, starch, oligosaccharides and matodextrins;EN
MI0183;Carbohydrate, available, calculated by difference;EN
MI0201;Fatty acid content calculated on fatty acid profile (%);EN
MI0202;Fatty acids, total fatty acids calculated as sum of individual fatty acids;EN
MI0203;Fatty acids, monounsaturated fatty acids calculated by difference;EN
MI0205;Fatty acids, saturated fatty acids by difference;EN
MI0206;Fatty acids, trans fatty acids by difference;EN
MI0207;Fatty acids, total fatty acids calculated from total fat;EN
